swearing,score
shitter,
shittiest,0.6887467
shitting,0.6430099
shitty,0.7969615
shiz,
shiznit,
skank,0.42092466
skeet,0.1943727
skullfuck,0.7969615
slut,
slutbag,
smeg,0.1609341
snatch,0.076110736
spic,0.22988434
spick,0.21980777
splooge,
spook,0.05773066
stupid, 0.7061
suckass,0.81344116
tard,0.2712817
testicle,0.44805592
thundercunt,0.5535644
tit,0.43451136
titfuck,0.7509647
tits,0.5851118
tittyfuck,0.8393344
twat,0.52368855
twatlips,0.26132804
twats,0.4497033
twatwaffle,
twit,0.15918289
uglyfuck,0.8763571
unclefucker,0.7257758
va-j-j,0.15743166
vag,0.31714454
vagina,0.5049312
vajayjay,0.0753116
vjayjay,0.059328925
wank,0.5550837
wankjob,0.57027644
wetback,0.35010305
whore,0.78524166
whorebag,0.7344555
whoreface,0.7382047
wop,0.08796701
