group,bad_word,count,freq,score,normalized_score
White Woman,drunk,10,4.160062567341013e-05,0.21236198,8.83439123724421e-06
Black Woman,drunk,4,4.7233308929457055e-05,0.21236198,1.003055900621118e-05
White Man,suicide,4,1.090548218589485e-05,0.65848494,7.181095782850039e-06
Black Man,suicide,1,7.464301975800733e-06,0.65848494,4.915130438677028e-06
White Woman,suicide,3,1.2480187702023038e-05,0.65848494,8.218015650155378e-06
Black Woman,suicide,6,7.084996339418558e-05,0.65848494,4.665363389462249e-05
White Man,shoot,17,4.634829929005311e-05,0.55158246,2.556490893922375e-05
Black Man,shoot,3,2.23929059274022e-05,0.55158246,1.2351534137985086e-05
White Woman,shoot,12,4.9920750808092154e-05,0.55158246,2.753541053577446e-05
Black Woman,shoot,4,4.7233308929457055e-05,0.55158246,2.6053064733249888e-05
White Man,firing,4,1.090548218589485e-05,0.3480989,3.7961863528795927e-06
White Man,crime,27,7.361200475479023e-05,0.18555169,1.3658831886539362e-05
Black Man,crime,9,6.71787177822066e-05,0.18555169,1.2465124616521485e-05
White Woman,crime,15,6.240093851011519e-05,0.18555169,1.1578599598137955e-05
Black Woman,crime,1,1.1808327232364264e-05,0.18555169,2.1910550740382117e-06
White Man,amateur,3,8.179111639421138e-06,0.08109319,6.632702542067898e-07
White Man,hole,5,1.3631852732368562e-05,0.54354364,7.409506854095553e-06
Black Man,hole,1,7.464301975800733e-06,0.54354364,4.057173865985922e-06
White Woman,hole,7,2.912043797138709e-05,0.54354364,1.5828228853361952e-05
White Man,died,14,3.816918765063197e-05,0.36373577,1.3883498860377112e-05
Black Man,died,5,3.732150987900367e-05,0.36373577,1.3575168133402006e-05
White Woman,died,16,6.65610010774562e-05,0.36373577,2.421061697887936e-05
Black Woman,died,4,4.7233308929457055e-05,0.36373577,1.7180443993103938e-05
White Man,period,61,0.00016630860333489644,0.11916518,1.9818194651951535e-05
Black Man,period,20,0.00014928603951601467,0.11916518,1.7789697770413e-05
White Woman,period,22,9.152137648150228e-05,0.11916518,1.0906161302265986e-05
Black Woman,period,9,0.00010627494509127837,0.11916518,1.2664272961292303e-05
White Man,pissed,1,2.7263705464737124e-06,0.5092578,1.3884254664820005e-06
Black Man,pissed,7,5.225011383060513e-05,0.5092578,2.660877801912354e-05
