group,word,categories,count
White Man,pull,"['verb', 'relativ', 'motion']",40
White Man,you're,"['function', 'pronoun', 'ppron', 'you', 'auxverb', 'verb', 'social', 'focuspresent']",519
White Man,looking,"['verb', 'percept', 'see']",159
White Man,sea,[],10
White Man,these,"['function', 'pronoun', 'ipron']",748
White Man,movies,['leisure'],608
White Man,are,"['function', 'auxverb', 'verb', 'focuspresent']",1595
White Man,doing,"['function', 'auxverb', 'verb']",232
White Man,shifting,[],2
White Man,into,"['function', 'prep', 'relativ', 'space']",804
White Man,deeper,"['adj', 'compare', 'relativ', 'space']",18
White Man,character,[],662
White Man,pieces,['quant'],24
White Man,quiet,"['adj', 'percept', 'hear']",41
White Man,breath,"['bio', 'body']",12
White Man,sometimes,"['cogproc', 'tentat', 'relativ', 'time']",100
White Man,can,"['function', 'auxverb', 'focuspresent']",926
White Man,tell,"['verb', 'social', 'focuspresent']",241
White Man,which,"['function', 'pronoun', 'ipron', 'interrog']",715
White Man,bummer,[],2
White Man,couple,['quant'],102
White Man,scenes,[],246
White Man,where,"['function', 'adverb', 'interrog', 'relativ', 'space']",750
White Man,talking,"['verb', 'social']",193
White Man,that's,"['function', 'pronoun', 'ipron', 'auxverb', 'verb', 'focuspresent']",932
White Man,couldn't,"['function', 'auxverb', 'negate', 'verb', 'cogproc', 'discrep']",62
White Man,find,"['verb', 'cogproc', 'insight', 'focuspresent']",174
White Man,mountain,[],2
White Man,talk,"['social', 'focuspresent']",262
White Man,know,"['verb', 'cogproc', 'insight', 'focuspresent']",1989
White Man,make,"['verb', 'cogproc', 'cause', 'focuspresent']",422
White Man,maybe,"['function', 'adverb', 'cogproc', 'tentat']",212
White Man,too,"['function', 'adverb']",283
White Man,cumbersome,[],1
White Man,bring,"['verb', 'focuspresent', 'relativ', 'motion']",57
White Man,crew,"['social', 'friend', 'drives', 'affiliation', 'work']",10
White Man,up,"['function', 'prep', 'drives', 'power', 'relativ', 'space']",840
White Man,liked,"['verb', 'affect', 'posemo', 'focuspast']",120
White Man,arc,[],27
White Man,gave,"['verb', 'social', 'focuspast']",61
White Man,T'Challa,[],2
White Man,we,"['function', 'pronoun', 'ppron', 'we', 'social', 'drives', 'affiliation']",986
White Man,America,[],41
White Man,ultimately,"['function', 'adverb']",47
White Man,dude,"['social', 'friend', 'informal']",25
White Man,revenge,"['affect', 'negemo', 'anger']",3
White Man,quest,[],4
White Man,totally,"['function', 'adverb', 'cogproc', 'certain']",63
White Man,get,"['verb', 'drives', 'reward', 'focuspresent']",964
White Man,class,['work'],28
White Man,hard,"['adj', 'percept', 'feel']",104
White Man,all,"['quant', 'cogproc', 'certain']",1573
White Man,time,"['relativ', 'time']",988
White Man,want,"['verb', 'cogproc', 'discrep', 'focuspresent']",536
White Man,see,"['verb', 'percept', 'see', 'focuspresent']",1181
White Man,guy's,"['social', 'friend', 'male']",9
White Man,heart,"['bio', 'body']",89
White Man,how,"['function', 'adverb', 'conj', 'interrog', 'cogproc', 'cause']",817
White Man,yeah,"['informal', 'assent']",301
White Man,well,"['function', 'adverb', 'affect', 'posemo', 'informal', 'nonflu']",864
White Man,did,"['function', 'auxverb', 'verb', 'focuspast']",623
White Man,bad,"['affect', 'negemo', 'drives', 'risk']",144
White Man,thing,"['function', 'pronoun', 'ipron']",417
White Man,guess,"['verb', 'cogproc', 'tentat', 'focuspresent']",112
White Man,we'll,"['function', 'pronoun', 'ppron', 'we', 'auxverb', 'verb', 'social', 'drives', 'affiliation', 'focusfuture']",50
White Man,no,"['function', 'negate']",442
White Man,shows,"['percept', 'see']",100
White Man,good,"['affect', 'posemo', 'drives', 'reward']",778
White Man,tells,"['verb', 'social', 'focuspresent']",64
White Man,man,"['social', 'male']",250
White Man,feel,"['verb', 'cogproc', 'insight', 'percept', 'feel', 'focuspresent']",538
White Man,introduction,[],9
White Man,more,"['adj', 'compare', 'quant']",972
White Man,relevant,['adj'],9
White Man,one,['number'],1618
White Man,strips,[],1
White Man,away,"['function', 'prep', 'relativ', 'space']",163
White Man,armor,[],3
White Man,behind,"['function', 'prep', 'relativ', 'space']",79
White Man,love,"['affect', 'posemo', 'social', 'bio', 'drives', 'affiliation']",537
White Man,stories,['social'],73
White Man,unpopular,[],6
White Man,opinion,"['cogproc', 'tentat']",76
White Man,coming,"['verb', 'focusfuture', 'relativ', 'motion']",139
White Man,enjoyed,"['affect', 'posemo']",148
White Man,Iron,[],4
White Man,Man,[],20
White Man,3,[],20
White Man,loved,"['affect', 'posemo', 'social', 'bio', 'drives', 'affiliation']",148
White Man,first,"['number', 'drives', 'achiev', 'relativ', 'time']",524
White Man,Thor,[],44
White Man,strip,[],2
White Man,hero,"['affect', 'posemo']",32
White Man,deal,[],47
White Man,person,['social'],152
White Man,lot,"['quant', 'cogproc', 'tentat']",933
White Man,suit,[],15
White Man,pretty,"['affect', 'posemo', 'cogproc', 'tentat']",285
White Man,entertaining,"['affect', 'posemo', 'leisure']",65
White Man,car,"['relativ', 'motion']",24
White Man,chase,[],16
White Man,sequence,"['relativ', 'time']",61
White Man,kick-ass,[],3
White Man,foremost,[],7
White Man,going,"['verb', 'focusfuture', 'relativ', 'motion']",837
White Man,politics,"['adj', 'drives', 'power', 'work']",5
White Man,culture,['social'],39
White Man,fascinated,[],8
White Man,wakandan,[],1
White Man,fantastic,"['adj', 'affect', 'posemo']",198
White Man,front-row,[],1
White Man,seat,[],28
White Man,interested,"['affect', 'posemo']",48
White Man,much,['quant'],842
White Man,stuck,"['verb', 'focuspast', 'relativ', 'space']",45
White Man,mean,"['verb', 'adj', 'cogproc', 'insight', 'focuspresent']",397
